Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,MACD,Signal_Line,RSI_14,BB_Upper,BB_Lower
2008-06-16,4572.5,4617.7,4536.3,4536.3,0,4750.12,4886.42,-126.08,-107.03,34.82,5169.51,4330.72
2008-06-17,4653.0,4664.05,4561.75,4572.5,0,4727.52,4884.39,-114.2,-108.46,36.3,5113.81,4341.23
2008-06-18,4582.4,4679.75,4569.9,4652.8,0,4700.76,4880.61,-109.22,-108.62,36.77,5045.14,4356.38
2008-06-19,4504.25,4585.7,4488.95,4582.55,0,4674.7,4877.76,-110.31,-108.96,31.7,4993.56,4355.84
2008-06-20,4347.55,4532.0,4333.6,4504.2,0,4644.75,4869.48,-122.41,-111.65,30.89,4968.58,4320.91
2008-06-23,4266.4,4351.15,4225.5,4351.15,0,4614.31,4860.62,-136.97,-116.71,29.25,4960.64,4267.99
2008-06-24,4191.1,4305.9,4156.1,4271.05,0,4580.88,4849.5,-152.82,-123.93,30.81,4955.38,4206.38
2008-06-25,4252.65,4264.55,4093.2,4189.6,0,4547.59,4839.89,-158.58,-130.86,28.75,4914.05,4181.14
2008-06-26,4315.85,4324.75,4230.0,4252.6,0,4521.62,4830.65,-156.25,-135.94,34.59,4875.65,4167.6
2008-06-27,4136.65,4315.3,4119.2,4315.3,0,4484.95,4815.79,-166.94,-142.14,32.89,4838.93,4130.97
2008-06-30,4040.55,4163.0,4021.7,4136.25,0,4450.0,4798.86,-181.08,-149.93,31.56,4834.82,4065.18
2008-07-01,3896.75,4075.4,3878.2,4039.75,0,4409.04,4777.62,-201.56,-160.26,23.43,4845.59,3972.49
2008-07-02,4093.35,4107.15,3848.25,3895.3,0,4384.43,4758.75,-199.63,-168.13,33.61,4834.37,3934.49
2008-07-03,3925.75,4097.35,3874.85,4094.6,0,4346.87,4736.28,-209.21,-176.35,30.36,4818.86,3874.87
2008-07-04,4016.0,4033.5,3896.4,3926.65,0,4316.28,4716.15,-207.14,-182.51,31.94,4790.91,3841.65
2008-07-07,4030.0,4114.5,4002.0,4002.0,0,4292.73,4696.75,-202.03,-186.41,28.87,4775.44,3810.02
2008-07-08,3988.55,4028.7,3896.05,4028.7,0,4269.67,4674.28,-199.04,-188.94,29.45,4764.7,3774.63
2008-07-09,4157.1,4169.4,3990.9,3990.9,0,4251.34,4655.63,-180.98,-187.34,38.7,4733.77,3768.91
2008-07-10,4162.2,4187.95,4110.4,4155.65,0,4232.49,4634.97,-164.36,-182.75,43.3,4696.65,3768.32
2008-07-11,4049.0,4215.5,4014.45,4166.0,0,4209.08,4612.63,-158.5,-177.9,42.32,4659.83,3758.33
2008-07-14,4039.7,4118.1,4004.25,4047.45,0,4182.44,4588.86,-152.84,-172.89,44.39,4604.84,3760.04
2008-07-15,3861.1,4040.7,3835.5,4039.3,0,4142.85,4562.24,-160.91,-170.49,36.65,4526.18,3759.51
2008-07-16,3816.7,3920.05,3790.2,3861.55,0,4104.56,4535.68,-168.94,-170.18,32.77,4454.55,3754.57
2008-07-17,3947.2,3968.75,3823.15,3823.15,0,4076.71,4511.91,-162.9,-168.72,43.23,4378.05,3775.37
2008-07-18,4092.25,4110.55,3926.3,3962.95,0,4063.94,4492.12,-144.74,-163.93,51.78,4337.31,3790.58
2008-07-21,4159.5,4168.15,4072.75,4092.2,0,4058.6,4475.66,-123.5,-155.84,59.58,4319.18,3798.02
2008-07-22,4240.1,4262.45,4137.95,4158.45,0,4061.05,4460.21,-99.02,-144.48,55.84,4327.72,3794.37
2008-07-23,4476.8,4491.55,4246.7,4246.7,0,4072.26,4450.59,-59.83,-127.55,70.8,4387.29,3757.22
2008-07-24,4433.55,4539.45,4385.85,4476.2,0,4078.14,4439.03,-31.89,-108.41,66.34,4415.91,3740.37
2008-07-25,4311.85,4440.85,4297.15,4440.85,0,4086.9,4422.96,-19.35,-90.6,60.17,4439.81,3733.99
2008-07-28,4332.1,4352.65,4282.25,4282.25,0,4101.48,4406.45,-7.68,-74.02,62.59,4470.06,3732.89
2008-07-29,4189.85,4332.2,4159.15,4332.2,0,4116.13,4388.14,-9.81,-61.18,51.22,4473.58,3758.68
2008-07-30,4313.55,4327.0,4191.2,4191.2,0,4127.14,4372.06,-1.49,-49.24,55.19,4495.05,3759.23
2008-07-31,4332.95,4342.0,4285.55,4314.35,0,4147.5,4358.21,6.59,-38.07,60.42,4513.55,3781.46
2008-08-01,4413.55,4422.95,4235.7,4331.6,0,4167.38,4347.55,19.28,-26.6,63.03,4546.31,3788.45
2008-08-04,4395.35,4436.15,4362.9,4426.1,0,4185.65,4337.96,27.54,-15.77,70.97,4571.85,3799.45
2008-08-05,4502.85,4515.15,4376.0,4395.8,0,4211.36,4330.82,42.28,-4.16,75.66,4610.57,3812.15
2008-08-06,4517.55,4615.9,4503.9,4506.25,0,4229.38,4322.8,54.52,7.57,73.35,4650.24,3808.53
2008-08-07,4523.85,4580.15,4493.7,4515.25,0,4247.47,4316.57,63.99,18.86,69.94,4686.84,3808.1
2008-08-08,4529.5,4546.35,4464.0,4518.35,0,4271.49,4309.76,71.13,29.31,68.12,4717.66,3825.32
2008-08-11,4620.4,4625.2,4529.35,4529.35,0,4300.53,4307.38,83.16,40.08,68.44,4758.61,3842.45
2008-08-12,4552.25,4649.85,4525.75,4620.95,0,4335.08,4304.11,86.21,49.31,54.37,4756.39,3913.78
2008-08-13,4529.05,4572.65,4497.25,4548.05,0,4370.7,4302.97,85.76,56.6,55.67,4722.13,4019.27
2008-08-14,4430.7,4529.8,4421.25,4524.2,0,4394.88,4298.05,76.59,60.6,57.25,4684.78,4104.98
2008-08-18,4393.05,4447.4,4379.85,4430.7,0,4409.92,4293.35,65.53,61.58,53.64,4662.52,4157.31
2008-08-19,4368.25,4393.7,4316.55,4393.1,0,4420.35,4290.7,54.13,60.09,62.4,4645.11,4195.6
2008-08-20,4415.75,4434.9,4365.45,4365.45,0,4429.14,4290.02,48.38,57.75,57.95,4637.35,4220.92
2008-08-21,4283.85,4418.55,4271.3,4416.2,0,4419.49,4285.22,32.8,52.76,46.75,4636.11,4202.87
2008-08-22,4327.45,4337.0,4248.0,4283.85,0,4414.19,4280.99,23.69,46.95,44.01,4634.52,4193.85
2008-08-25,4335.35,4398.8,4317.95,4317.95,0,4415.36,4277.35,16.92,40.94,45.76,4633.64,4197.08
2008-08-26,4337.5,4345.05,4283.3,4335.2,0,4415.63,4272.65,11.6,35.07,36.28,4633.49,4197.77
2008-08-27,4292.1,4364.25,4282.65,4336.85,0,4420.74,4265.43,3.67,28.79,32.2,4620.33,4221.16
2008-08-28,4214.0,4304.5,4201.85,4290.75,0,4415.77,4258.07,-8.81,21.27,28.03,4630.96,4200.57
2008-08-29,4360.0,4368.8,4230.6,4230.6,0,4417.12,4255.18,-6.85,15.65,39.98,4630.45,4203.78
2008-09-01,4348.65,4365.0,4281.35,4356.1,0,4413.87,4255.2,-6.13,11.29,32.26,4629.4,4198.34
2008-09-02,4504.0,4522.4,4343.1,4358.85,0,4419.31,4259.95,6.89,10.41,47.17,4638.32,4200.29
2008-09-04,4447.75,4514.6,4419.45,4512.95,0,4416.55,4265.09,12.52,10.83,45.41,4632.5,4200.6
2008-09-05,4352.3,4444.7,4328.9,4444.7,0,4408.29,4267.08,9.18,10.5,45.56,4620.58,4195.99
2008-09-08,4482.3,4558.0,4358.3,4358.3,0,4406.21,4270.41,16.83,11.77,54.57,4614.52,4197.9
2008-09-09,4468.7,4497.5,4418.95,4485.15,0,4403.17,4277.05,21.55,13.72,55.21,4605.6,4200.74
2008-09-10,4400.25,4467.5,4382.35,4467.5,0,4392.16,4284.24,19.54,14.89,49.21,4566.9,4217.43
2008-09-11,4290.3,4399.3,4272.75,4397.25,0,4379.06,4292.12,8.97,13.7,50.33,4542.16,4215.97
2008-09-12,4228.45,4323.9,4200.15,4291.6,0,4364.04,4294.82,-4.35,10.09,44.96,4524.31,4203.76
2008-09-15,4072.9,4237.25,3955.4,4231.95,0,4346.14,4297.76,-27.14,2.64,38.38,4549.24,4143.05
2008-09-16,4074.9,4090.1,3919.35,4072.55,0,4330.24,4298.94,-44.53,-6.79,38.37,4565.21,4095.27
2008-09-17,4008.25,4116.7,3974.6,4074.8,0,4312.24,4298.5,-62.96,-18.03,37.66,4586.77,4037.7
2008-09-18,4038.15,4050.1,3799.55,4005.25,0,4293.36,4299.49,-74.3,-29.28,42.02,4589.04,3997.68
2008-09-19,4245.25,4262.65,4040.8,4040.8,0,4291.43,4301.26,-65.82,-36.59,45.07,4587.87,3994.98
2008-09-22,4223.05,4303.25,4202.4,4248.95,0,4286.21,4302.47,-60.19,-41.31,44.65,4583.66,3988.76
2008-09-23,4126.9,4224.7,4117.9,4223.9,0,4275.78,4304.03,-62.77,-45.6,33.09,4580.5,3971.07
2008-09-24,4161.25,4207.95,4115.85,4125.75,0,4266.97,4306.46,-61.33,-48.75,36.9,4574.36,3959.59
2008-09-25,4110.55,4172.6,4077.5,4162.15,0,4257.89,4311.45,-63.55,-51.71,38.47,4572.79,3943.0
2008-09-26,3985.25,4110.7,3970.35,4108.75,0,4246.46,4314.82,-74.56,-56.28,26.19,4583.87,3909.04
2008-09-29,3850.05,3997.55,3777.3,3990.2,0,4220.96,4312.88,-93.12,-63.65,23.46,4597.1,3844.82
2008-09-30,3921.2,3966.85,3715.05,3848.7,0,4199.59,4309.46,-100.93,-71.11,29.49,4593.34,3805.83
2008-10-01,3950.75,4000.5,3861.25,3921.85,0,4171.92,4305.28,-103.54,-77.59,34.39,4553.17,3790.68
2008-10-03,3818.3,3969.55,3804.85,3953.55,0,4140.45,4296.85,-114.97,-85.07,32.29,4529.66,3751.24
2008-10-06,3602.35,3820.85,3581.6,3817.3,0,4102.95,4279.36,-139.84,-96.02,30.69,4546.89,3659.02
2008-10-07,3606.6,3732.65,3537.0,3606.95,0,4059.17,4262.82,-157.39,-108.3,30.82,4518.06,3600.28
2008-10-08,3513.65,3604.4,3329.45,3604.4,0,4011.42,4246.86,-176.77,-121.99,30.17,4489.24,3533.59
2008-10-10,3279.95,3502.05,3198.95,3502.05,0,3955.4,4225.81,-208.57,-139.31,23.87,4499.39,3411.42
2008-10-13,3490.7,3510.2,3272.9,3272.9,0,3915.42,4211.83,-214.3,-154.31,24.06,4473.13,3357.71
2008-10-14,3518.65,3648.25,3491.5,3494.1,0,3879.93,4195.93,-214.12,-166.27,25.88,4444.07,3315.8
2008-10-15,3338.4,3518.5,3324.55,3517.9,0,3843.21,4176.04,-225.92,-178.2,24.47,4448.57,3237.84
2008-10-16,3269.3,3333.85,3099.9,3333.85,0,3802.93,4153.16,-238.1,-190.18,21.76,4449.21,3156.65
2008-10-17,3074.35,3335.95,3046.6,3269.05,0,3756.23,4126.74,-260.48,-204.24,19.94,4471.34,3041.13
2008-10-20,3122.8,3238.4,3058.95,3108.2,0,3710.46,4099.14,-271.18,-217.63,23.81,4465.64,2955.29
2008-10-21,3234.9,3254.85,3117.35,3125.4,0,3659.95,4073.48,-267.53,-227.61,31.06,4399.51,2920.39
2008-10-22,3065.15,3235.75,3051.8,3234.7,0,3602.05,4044.31,-275.17,-237.12,25.15,4337.28,2866.82
2008-10-23,2943.15,3085.1,2917.15,3064.8,0,3542.86,4012.58,-287.74,-247.25,22.24,4290.68,2795.05
2008-10-24,2584.0,2936.25,2525.05,2936.25,0,3464.0,3971.85,-322.97,-262.39,19.77,4267.8,2660.2
2008-10-27,2524.2,2585.3,2252.75,2583.75,0,3384.68,3931.29,-351.66,-280.24,21.4,4231.76,2537.61
2008-10-29,2697.05,2781.25,2631.9,2685.3,0,3320.27,3894.65,-356.34,-295.46,27.86,4170.97,2469.58
2008-10-31,2885.6,2921.35,2696.3,2696.3,0,3272.05,3863.75,-340.9,-304.55,35.39,4105.47,2438.63
2008-11-03,3043.85,3062.05,2885.4,2885.4,0,3228.18,3836.77,-312.3,-306.1,44.31,4008.4,2447.97
