Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,MACD,Signal_Line,RSI_14,BB_Upper,BB_Lower
1999-06-23,4157.13,4285.99,4148.76,4268.54,0,4018.52,3818.35,85.24,75.25,61.55,4254.53,3782.52
1999-06-30,4140.73,4174.61,4121.39,4174.61,0,4081.13,3886.59,70.98,74.89,55.47,4263.2,3899.05
1999-07-07,4321.51,4373.02,4306.49,4340.1,0,4137.94,3977.18,88.95,78.18,66.47,4374.32,3901.56
1999-07-14,4710.25,4710.25,4557.19,4627.23,0,4272.96,4088.45,151.32,109.17,92.85,4629.34,3916.59
1999-07-21,4659.59,4689.52,4545.63,4566.59,0,4395.79,4175.64,166.0,148.17,79.4,4854.88,3936.7
1999-07-28,4598.18,4644.21,4562.55,4603.69,0,4521.59,4233.23,131.72,147.79,65.42,4898.77,4144.41
1999-08-04,4644.07,4644.2,4548.75,4548.75,0,4597.17,4286.31,82.7,111.35,47.55,4809.06,4385.29
1999-08-11,4553.63,4616.4,4502.97,4520.95,0,4615.33,4356.58,58.4,81.68,35.95,4736.18,4494.48
1999-08-18,4705.13,4729.38,4648.27,4648.27,0,4595.42,4411.63,45.92,54.93,56.69,4722.85,4467.98
1999-08-25,4718.73,4826.07,4609.98,4813.75,0,4610.35,4483.96,62.65,55.54,57.64,4771.78,4448.93
1999-09-01,4824.44,4914.12,4813.54,4910.64,0,4687.07,4553.72,93.41,78.24,66.48,4946.37,4427.77
1999-09-08,4781.62,4827.43,4775.13,4794.41,0,4730.27,4616.24,62.56,72.16,59.38,4970.18,4490.36
1999-09-16,4571.09,4677.48,4571.09,4672.07,0,4758.88,4660.01,16.75,48.1,29.0,4938.62,4579.13
1999-09-23,4735.81,4736.3,4682.8,4709.43,0,4748.83,4674.31,1.06,15.79,50.51,4940.02,4557.64
1999-09-30,4764.42,4837.42,4764.42,4837.42,0,4719.99,4683.4,16.91,13.15,49.98,4852.94,4587.04
1999-10-07,4963.1,4985.15,4810.18,4816.11,0,4714.95,4693.58,23.96,12.33,72.89,4879.24,4550.66
1999-10-14,5075.39,5118.39,5041.0,5055.76,0,4799.51,4740.94,89.39,53.14,70.94,5116.29,4482.73
1999-10-22,4783.08,4831.87,4755.89,4817.25,0,4852.63,4769.23,46.53,60.1,54.25,5129.67,4575.58
1999-10-29,4444.56,4601.4,4368.85,4601.4,0,4835.47,4779.43,-31.91,21.35,21.94,5176.1,4494.85
1999-11-05,4598.45,4608.42,4501.27,4501.27,0,4764.28,4755.15,-85.36,-49.61,38.06,5247.14,4281.42
1999-11-16,4578.87,4591.77,4552.47,4585.22,0,4658.1,4729.36,-57.32,-58.51,38.66,5021.86,4294.35
1999-11-24,4686.11,4706.49,4639.54,4641.72,0,4591.92,4713.89,-32.73,-49.08,78.61,4847.29,4336.55
1999-12-01,4614.96,4667.02,4593.47,4609.66,0,4586.75,4710.57,-14.21,-25.59,49.28,4791.66,4381.84
1999-12-08,4799.22,4943.85,4735.68,4909.63,0,4666.89,4722.38,30.72,2.41,68.84,4842.47,4491.31
1999-12-15,4665.56,4711.02,4584.74,4632.34,0,4703.45,4722.74,22.73,22.52,44.5,4889.7,4517.2
1999-12-22,4948.54,4951.76,4854.89,4854.89,0,4744.12,4725.56,33.61,21.72,65.42,4919.74,4568.49
1999-12-29,4939.47,4960.86,4874.37,4884.5,0,4801.19,4711.25,53.21,40.22,55.92,4986.21,4616.17
2000-01-06,5421.53,5489.86,5391.33,5424.21,0,4938.43,4756.7,167.75,103.53,76.33,5461.97,4414.89
2000-01-13,5444.82,5652.22,5430.81,5568.64,0,5107.34,4831.49,189.44,159.99,64.9,5722.57,4492.12
2000-01-20,5355.8,5516.16,5348.56,5508.04,0,5272.66,4928.91,159.14,168.76,61.3,5774.52,4770.81
2000-01-27,5369.1,5457.3,5362.25,5424.14,0,5398.77,5007.51,111.27,141.42,47.84,5616.96,5180.58
2000-02-03,5340.19,5381.74,5323.32,5366.62,0,5386.33,5074.46,52.28,89.67,41.33,5560.75,5211.91
2000-02-10,5789.04,5789.04,5715.05,5765.28,0,5419.89,5164.74,110.05,84.28,69.73,5701.13,5138.64
2000-02-17,5835.15,5877.04,5799.79,5810.24,0,5522.28,5271.06,158.74,132.25,70.3,6000.15,5044.41
2000-02-24,5810.17,5816.16,5620.83,5764.16,0,5619.61,5373.98,133.01,139.81,65.31,6122.62,5116.6
2000-03-02,5528.31,5828.79,5528.31,5803.33,0,5698.61,5456.26,51.26,97.08,39.38,6035.02,5362.19
2000-03-09,5328.79,5607.94,5278.68,5579.87,0,5673.25,5513.57,-13.93,35.78,40.64,6036.14,5310.35
2000-03-16,5102.41,5301.44,5077.33,5249.98,0,5510.1,5499.73,-100.14,-40.41,35.61,5992.05,5028.15
2000-03-27,5146.3,5286.81,5126.35,5203.16,0,5350.37,5471.19,-115.96,-90.04,39.98,5768.32,4932.42
2000-04-03,5052.94,5085.0,4977.21,5070.5,0,5218.98,5434.79,-122.16,-109.85,35.77,5555.13,4882.83
2000-04-10,5442.86,5532.54,5435.35,5481.49,0,5101.4,5394.62,-89.62,-124.63,60.21,5449.18,4753.61
2000-04-18,4745.47,4981.42,4723.19,4973.25,0,5091.79,5381.92,-75.75,-72.7,40.73,5546.99,4636.58
2000-04-26,4626.39,4803.27,4626.39,4692.78,0,4954.63,5285.08,-174.35,-126.67,48.37,5574.18,4335.07
2000-05-04,4553.92,4568.54,4335.04,4384.53,0,4816.86,5152.62,-196.57,-168.98,21.98,5529.04,4104.69
2000-05-11,4251.36,4352.56,4198.17,4324.19,0,4690.27,5022.88,-182.37,-173.1,37.8,5364.35,4016.2
2000-05-18,4192.44,4254.35,4159.9,4205.48,0,4450.76,4882.78,-205.84,-195.69,35.58,4836.88,4064.64
2000-05-25,3999.03,4060.76,3961.02,3962.98,0,4294.28,4733.5,-233.35,-219.69,24.39,4806.11,3782.45
2000-06-01,4325.47,4412.2,4321.26,4406.52,0,4231.62,4641.23,-115.84,-176.91,60.08,4663.45,3799.8
2000-06-08,4728.81,4746.88,4656.0,4656.0,0,4254.86,4584.68,18.48,-73.49,77.66,4734.05,3775.68
2000-06-15,4653.22,4685.63,4575.03,4609.98,0,4369.16,4542.85,63.57,13.48,78.04,4949.49,3788.84
2000-06-22,4794.16,4795.1,4693.46,4749.4,0,4575.49,4523.13,102.02,69.21,70.42,5006.11,4144.87
2000-06-29,4785.63,4820.58,4785.63,4820.58,0,4683.56,4477.94,73.49,75.88,53.16,4887.13,4479.99
2000-07-06,4885.6,4908.34,4846.64,4862.99,0,4753.39,4504.18,94.56,83.34,56.68,4950.78,4555.99
2000-07-13,4880.8,5058.9,4878.45,4994.92,0,4816.09,4542.54,90.95,90.11,60.22,5002.59,4629.59
2000-07-20,4575.67,4634.46,4538.95,4592.28,0,4793.04,4564.24,14.82,59.1,39.05,5023.56,4562.52
2000-07-27,4281.13,4287.86,4113.42,4149.84,0,4690.73,4573.92,-109.62,-33.23,25.86,5213.05,4168.4
2000-08-03,4207.63,4279.51,4204.41,4232.21,0,4539.32,4602.2,-134.36,-97.41,21.66,5123.47,3955.18
2000-08-10,4253.23,4360.91,4244.19,4312.24,0,4377.24,4600.79,-112.75,-114.77,39.14,4799.54,3954.94
2000-08-18,4347.04,4364.39,4290.12,4297.9,0,4270.28,4570.41,-77.6,-100.23,56.01,4410.09,4130.47
2000-08-25,4416.86,4485.63,4414.72,4482.2,0,4306.83,4548.99,-17.58,-54.31,67.44,4487.33,4126.33
2000-09-04,4602.43,4620.32,4557.11,4571.89,0,4357.35,4514.94,15.31,-18.39,82.43,4578.22,4136.49
2000-09-11,4696.6,4748.81,4694.4,4715.3,0,4453.55,4508.78,65.31,28.01,81.61,4738.11,4168.99
2000-09-18,4366.41,4513.09,4362.47,4511.42,0,4537.32,4483.98,45.59,54.32,48.1,4788.29,4286.35
2000-09-25,4173.48,4210.0,4105.75,4144.81,0,4480.39,4414.71,-64.14,-3.88,31.67,4882.55,4078.23
2000-10-03,4135.55,4139.53,4028.51,4035.64,0,4393.28,4355.04,-104.56,-67.04,26.17,4911.96,3874.59
2000-10-10,3945.28,4079.61,3931.21,4079.61,0,4251.86,4333.24,-113.54,-93.05,34.93,4733.77,3769.96
2000-10-17,3664.79,3718.74,3613.74,3702.4,0,4039.34,4283.99,-173.46,-135.15,22.84,4413.86,3664.82
2000-10-24,3651.99,3656.31,3584.38,3603.66,0,3899.73,4223.71,-182.08,-167.93,18.77,4319.43,3480.03
2000-11-01,3788.53,3807.7,3734.98,3749.35,0,3805.47,4169.11,-130.72,-154.47,46.74,4154.51,3456.43
2000-11-08,4028.71,4045.05,3958.69,3958.69,0,3773.27,4119.81,-35.79,-94.01,80.28,4016.34,3530.21
2000-11-15,3946.53,4016.09,3931.84,3994.88,0,3816.14,4067.51,-8.91,-40.65,63.77,4095.58,3536.7
2000-11-22,3862.39,3947.98,3861.01,3938.46,0,3879.17,3993.96,-6.75,-17.27,48.94,4079.06,3679.28
2000-11-29,3996.18,4046.19,3957.19,3997.33,0,3931.59,3926.82,11.13,-5.13,48.04,4048.61,3814.56
2000-12-06,4108.43,4156.66,4097.55,4155.22,0,3957.6,3910.7,39.99,18.35,75.17,4113.12,3802.08
2000-12-13,4284.98,4298.63,4235.56,4235.56,0,4024.6,3920.03,81.61,51.43,92.77,4283.26,3765.93
2000-12-20,4086.41,4121.82,4057.95,4106.34,0,4089.35,3928.95,60.57,65.4,57.79,4329.2,3849.5
2000-12-28,3932.78,3940.45,3895.21,3918.17,0,4082.71,3944.17,-16.61,23.62,38.09,4340.22,3825.2
2001-01-05,4183.73,4195.01,4115.35,4116.34,0,4087.87,3985.96,10.98,5.28,44.99,4351.4,3824.35
2001-01-12,4036.58,4082.77,4018.28,4059.41,0,4055.04,4019.86,8.35,10.47,50.16,4278.32,3831.77
2001-01-19,4194.46,4201.94,4137.31,4149.25,0,4039.65,4035.5,21.13,12.03,70.39,4233.89,3845.41
2001-01-29,4234.57,4262.76,4158.86,4158.86,0,4133.54,4071.13,63.27,41.7,61.37,4350.92,3916.16
2001-02-05,4370.47,4397.19,4337.52,4337.52,0,4201.41,4114.85,77.97,64.1,73.56,4455.36,3947.47
2001-02-12,4406.3,4446.08,4389.02,4429.91,0,4277.21,4158.11,78.04,72.92,61.1,4508.1,4046.32
2001-02-19,4350.65,4378.06,4302.1,4363.79,0,4344.04,4190.08,59.96,68.93,48.15,4442.1,4245.98
2001-02-26,4112.69,4174.85,4074.12,4168.71,0,4329.23,4192.98,1.36,39.93,30.02,4495.94,4162.52
2001-03-05,3998.12,4127.12,3947.71,4073.73,0,4277.93,4190.29,-37.68,-1.72,31.32,4535.58,4020.28
2001-03-13,3540.65,3777.48,3436.75,3605.53,0,4149.0,4184.63,-125.54,-58.16,19.46,4606.33,3691.67
2001-03-20,3672.4,3740.07,3644.51,3736.09,0,3991.02,4151.34,-147.74,-114.37,36.55,4473.41,3508.62
2001-03-27,3694.82,3712.27,3631.29,3634.48,0,3856.65,4113.62,-139.01,-132.46,36.32,4282.87,3430.42
2001-04-03,3605.01,3619.62,3543.82,3543.82,0,3738.34,4069.76,-123.71,-125.81,43.55,4014.8,3461.87
2001-04-11,3325.46,3481.15,3298.12,3476.41,0,3647.1,3990.05,-141.71,-128.65,23.23,3890.77,3403.43
2001-04-19,3574.08,3621.03,3471.03,3552.17,0,3550.85,3891.11,-136.1,-147.19,40.2,3899.28,3202.41
2001-04-26,3557.19,3651.79,3547.46,3649.36,0,3523.18,3812.01,-63.79,-103.05,49.51,3830.39,3215.96
2001-05-04,3514.59,3521.92,3465.5,3471.95,0,3481.88,3724.9,-49.66,-71.34,71.35,3728.06,3235.69
2001-05-11,3559.77,3577.79,3545.19,3564.65,0,3500.39,3658.51,-20.6,-42.12,47.55,3740.75,3260.03
2001-05-18,3655.03,3700.88,3648.36,3674.42,0,3565.5,3606.14,6.3,-16.57,78.8,3672.56,3458.44
2001-05-25,3659.81,3700.66,3647.35,3686.16,0,3584.51,3586.22,22.93,7.0,70.93,3722.45,3446.57
2001-06-01,3557.64,3651.32,3555.74,3637.03,0,3625.73,3578.78,17.48,20.06,48.78,3740.94,3510.52
2001-06-08,3495.84,3502.78,3452.94,3466.66,0,3602.18,3556.73,-29.09,-6.25,34.72,3780.75,3423.61
2001-06-15,3372.94,3434.33,3360.11,3434.33,0,3565.85,3537.14,-43.91,-26.05,15.39,3781.02,3350.67
2001-06-22,3381.76,3409.76,3361.79,3402.14,0,3498.81,3526.9,-54.97,-44.71,33.0,3723.06,3274.56
2001-06-29,3456.78,3474.71,3394.91,3406.79,0,3433.08,3531.67,-42.96,-48.8,44.34,3541.17,3324.99
2001-07-06,3305.78,3317.63,3286.74,3317.63,0,3398.32,3506.78,-53.51,-49.09,44.9,3528.17,3268.47
2001-07-13,3453.99,3513.79,3438.03,3470.94,0,3376.62,3495.04,-27.23,-43.59,63.74,3486.14,3267.11
2001-07-20,3340.75,3389.49,3331.42,3375.82,0,3376.84,3477.48,-19.78,-26.43,39.92,3490.45,3263.22
2001-07-27,3251.53,3278.85,3241.66,3260.04,0,3350.8,3445.8,-38.48,-29.6,44.75,3475.7,3225.91
2001-08-03,3325.38,3337.79,3300.02,3300.02,0,3343.3,3410.3,-31.59,-33.12,34.61,3467.82,3218.78
2001-08-10,3316.21,3335.71,3308.76,3312.5,0,3327.58,3375.78,-21.54,-27.09,47.58,3423.97,3231.2
2001-08-20,3278.92,3290.24,3271.54,3287.69,0,3306.14,3359.06,-18.08,-20.91,48.91,3357.28,3255.01
2001-08-28,3313.07,3333.17,3308.35,3318.65,0,3309.37,3343.21,-12.03,-16.47,46.44,3344.36,3274.38
2001-09-04,3231.6,3246.76,3209.84,3227.86,0,3297.75,3329.88,-23.56,-17.84,38.84,3360.52,3234.99
2001-09-11,3150.4,3198.81,3141.57,3189.09,0,3266.55,3309.16,-39.3,-28.43,14.02,3374.48,3158.62
2001-09-18,2782.47,2814.07,2680.04,2680.04,0,3155.58,3261.97,-127.08,-74.98,14.51,3539.04,2772.13
2001-09-25,2617.35,2727.32,2613.53,2668.37,0,3000.18,3192.63,-171.5,-130.82,18.19,3508.8,2491.56
2001-10-03,2754.95,2808.45,2742.85,2802.24,0,2872.86,3128.29,-130.3,-140.97,36.33,3307.33,2438.38
2001-10-10,2896.6,2904.59,2836.74,2836.74,0,2777.59,3079.88,-78.46,-111.1,55.94,2997.25,2557.93
2001-10-17,3043.85,3050.07,2998.86,2998.86,0,2807.69,3047.72,-5.64,-54.59,82.19,3061.91,2553.46
2001-10-24,3040.16,3083.65,3026.63,3057.0,0,2891.04,3018.01,25.72,-6.84,73.06,3139.22,2642.85
2001-11-01,3049.8,3062.77,3003.95,3003.95,0,2955.21,2987.91,25.8,14.53,61.29,3142.06,2768.35
2001-11-08,3059.97,3067.55,3017.41,3020.39,0,3013.91,2961.7,30.58,24.99,58.57,3089.62,2938.21
2001-11-15,3180.23,3195.52,3107.8,3116.72,0,3045.34,2946.76,45.16,34.18,67.09,3146.96,2943.73
2001-11-23,3252.2,3301.34,3245.58,3263.06,0,3103.57,2952.82,74.16,57.64,70.62,3304.47,2902.67
2001-12-03,3275.47,3311.83,3271.55,3301.05,0,3175.54,2995.89,78.2,72.9,71.91,3389.25,2961.82
2001-12-10,3442.89,3468.19,3434.04,3445.22,0,3265.95,3068.01,98.03,85.66,71.39,3494.97,3036.94
2001-12-18,3335.88,3384.66,3301.36,3362.67,0,3334.21,3131.3,73.81,85.1,51.96,3477.71,3190.71
2001-12-26,3175.86,3262.92,3170.23,3227.8,0,3329.81,3173.71,16.59,50.93,32.28,3487.08,3172.54
2002-01-03,3308.02,3309.38,3272.21,3282.68,0,3314.22,3198.51,3.81,17.03,38.46,3505.53,3122.92
